Column3;Column4;Column5;Column6;Column7;Column8
 -1.430149126172164E+07; -1.950326616431072E+08;  3.978423568265736E+05;  2.415982709787190E+01;  1.483653680348601E+01; -7.617732685061078E-01
 -1.429424350451943E+07; -1.950282105540825E+08;  3.976138245805949E+05;  2.415855424449004E+01;  1.483739001293596E+01; -7.617750377340951E-01
 -1.428699612917852E+07; -1.950237592091085E+08;  3.973852918040454E+05;  2.415728135568421E+01;  1.483824313179649E+01; -7.617768057138097E-01
 -1.427974913570952E+07; -1.950193076082125E+08;  3.971567584972978E+05;  2.415600843145800E+01;  1.483909616005145E+01; -7.617785724440465E-01
 -1.427250252412316E+07; -1.950148557514215E+08;  3.969282246607095E+05;  2.415473547181580E+01;  1.483994909768446E+01; -7.617803379240211E-01
 -1.426525629442996E+07; -1.950104036387629E+08;  3.966996902946681E+05;  2.415346247676280E+01;  1.484080194467902E+01; -7.617821021533313E-01
 -1.425801044664064E+07; -1.950059512702638E+08;  3.964711553995311E+05;  2.415218944630499E+01;  1.484165470101848E+01; -7.617838651319886E-01
 -1.425076498076576E+07; -1.950014986459514E+08;  3.962426199757308E+05;  2.415091638044916E+01;  1.484250736668619E+01; -7.617856268603962E-01
 -1.424351989681596E+07; -1.949970457658529E+08;  3.960140840235651E+05;  2.414964327920293E+01;  1.484335994166546E+01; -7.617873873393570E-01
 -1.423627519480175E+07; -1.949925926299955E+08;  3.957855475434363E+05;  2.414837014257468E+01;  1.484421242593967E+01; -7.617891465700550E-01
 -1.422903087473390E+07; -1.949881392384064E+08;  3.955570105357170E+05;  2.414709697057361E+01;  1.484506481949232E+01; -7.617909045540712E-01
 -1.422178693662295E+07; -1.949836855911129E+08;  3.953284730008245E+05;  2.414582376320968E+01;  1.484591712230705E+01; -7.617926612933523E-01
 -1.421454338047951E+07; -1.949792316881421E+08;  3.950999349390864E+05;  2.414455052049358E+01;  1.484676933436774E+01; -7.617944167902015E-01
 -1.420730020631421E+07; -1.949747775295213E+08;  3.948713963508606E+05;  2.414327724243679E+01;  1.484762145565853E+01; -7.617961710472665E-01
 -1.420005741413757E+07; -1.949703231152778E+08;  3.946428572365940E+05;  2.414200392905143E+01;  1.484847348616393E+01; -7.617979240675519E-01
 -1.419281500396028E+07; -1.949658684454387E+08;  3.944143175965548E+05;  2.414073058035033E+01;  1.484932542586880E+01; -7.617996758543439E-01
 -1.418557297579291E+07; -1.949614135200313E+08;  3.941857774311900E+05;  2.413945719634695E+01;  1.485017727475848E+01; -7.618014264112434E-01
 -1.417833132964605E+07; -1.949569583390829E+08;  3.939572367408276E+05;  2.413818377705534E+01;  1.485102903281885E+01; -7.618031757421271E-01
 -1.417109006553024E+07; -1.949525029026207E+08;  3.937286955258846E+05;  2.413691032249015E+01;  1.485188070003633E+01; -7.618049238511118E-01
 -1.416384918345603E+07; -1.949480472106720E+08;  3.935001537866443E+05;  2.413563683266648E+01;  1.485273227639800E+01; -7.618066707425424E-01
 -1.415660868343416E+07; -1.949435912632639E+08;  3.932716115235537E+05;  2.413436330759995E+01;  1.485358376189166E+01; -7.618084164209709E-01
 -1.414936856547502E+07; -1.949391350604239E+08;  3.930430687369108E+05;  2.413308974730658E+01;  1.485443515650588E+01; -7.618101608911001E-01
 -1.414212882958928E+07; -1.949346786021791E+08;  3.928145254271328E+05;  2.413181615180271E+01;  1.485528646023008E+01; -7.618119041577938E-01
 -1.413488947578746E+07; -1.949302218885569E+08;  3.925859815945327E+05;  2.413054252110500E+01;  1.485613767305456E+01; -7.618136462259990E-01
 -1.412765050408009E+07; -1.949257649195844E+08;  3.923574372395128E+05;  2.412926885523032E+01;  1.485698879497064E+01; -7.618153871007394E-01
 -1.412041191447785E+07; -1.949213076952890E+08;  3.921288923623860E+05;  2.412799515419570E+01;  1.485783982597065E+01; -7.618171267870757E-01
 -1.411317370699114E+07; -1.949168502156979E+08;  3.919003469635546E+05;  2.412672141801826E+01;  1.485869076604807E+01; -7.618188652900511E-01
 -1.410593588163054E+07; -1.949123924808385E+08;  3.916718010433465E+05;  2.412544764671511E+01;  1.485954161519757E+01; -7.618206026146686E-01
 -1.409869843840662E+07; -1.949079344907379E+08;  3.914432546021193E+05;  2.412417384030330E+01;  1.486039237341505E+01; -7.618223387658221E-01
 -1.409146137732986E+07; -1.949034762454235E+08;  3.912147076402009E+05;  2.412289999879969E+01;  1.486124304069780E+01; -7.618240737483024E-01
 -1.408422469841084E+07; -1.948990177449225E+08;  3.909861601579785E+05;  2.412162612222091E+01;  1.486209361704448E+01; -7.618258075666873E-01
 -1.407698840166005E+07; -1.948945589892623E+08;  3.907576121557653E+05;  2.412035221058325E+01;  1.486294410245528E+01; -7.618275402253323E-01
 -1.406975248708797E+07; -1.948900999784701E+08;  3.905290636339486E+05;  2.411907826390253E+01;  1.486379449693193E+01; -7.618292717283044E-01
 -1.406251695470518E+07; -1.948856407125733E+08;  3.903005145928413E+05;  2.411780428219407E+01;  1.486464480047781E+01; -7.618310020793349E-01
 -1.405528180452219E+07; -1.948811811915990E+08;  3.900719650328308E+05;  2.411653026547250E+01;  1.486549501309803E+01; -7.618327312817668E-01
 -1.404804703654942E+07; -1.948767214155745E+08;  3.898434149542153E+05;  2.411525621375171E+01;  1.486634513479951E+01; -7.618344593384929E-01
 -1.404081265079743E+07; -1.948722613845272E+08;  3.896148643573225E+05;  2.411398212704474E+01;  1.486719516559105E+01; -7.618361862518883E-01
 -1.403357864727667E+07; -1.948678010984842E+08;  3.893863132425547E+05;  2.411270800536362E+01;  1.486804510548342E+01; -7.618379120237853E-01
 -1.402634502599767E+07; -1.948633405574730E+08;  3.891577616102248E+05;  2.411143384871928E+01;  1.486889495448946E+01; -7.618396366553508E-01
 -1.401911178697091E+07; -1.948588797615207E+08;  3.889292094606906E+05;  2.411015965716867E+01;  1.486974471240458E+01; -7.618413601795906E-01
 -1.401187893020692E+07; -1.948544187106546E+08;  3.887006567942202E+05;  2.410888543068064E+01;  1.487059437941787E+01; -7.618430825695484E-01
 -1.400464645571601E+07; -1.948499574049021E+08;  3.884721036112458E+05;  2.410761116926982E+01;  1.487144395552587E+01; -7.618448038288950E-01
 -1.399741436350885E+07; -1.948454958442904E+08;  3.882435499120504E+05;  2.410633687295022E+01;  1.487229344072647E+01; -7.618465239609735E-01
 -1.399018265359575E+07; -1.948410340288468E+08;  3.880149956969768E+05;  2.410506254173520E+01;  1.487314283501874E+01; -7.618482429687292E-01
 -1.398295132598725E+07; -1.948365719585985E+08;  3.877864409663975E+05;  2.410378817563751E+01;  1.487399213840287E+01; -7.618499608547715E-01
 -1.397572038069385E+07; -1.948321096335728E+08;  3.875578857205808E+05;  2.410251377466922E+01;  1.487484135088004E+01; -7.618516776213369E-01
 -1.396848981772596E+07; -1.948276470537970E+08;  3.873293299599141E+05;  2.410123933884179E+01;  1.487569047245233E+01; -7.618533932703064E-01
 -1.396125963709402E+07; -1.948231842192985E+08;  3.871007736847252E+05;  2.409996486816599E+01;  1.487653950312259E+01; -7.618551078032070E-01
 -1.395402983880854E+07; -1.948187211301042E+08;  3.868722168953419E+05;  2.409869036265194E+01;  1.487738844289438E+01; -7.618568212212073E-01
 -1.394680042287993E+07; -1.948142577862418E+08;  3.866436595921069E+05;  2.409741582230915E+01;  1.487823729177185E+01; -7.618585335251407E-01
 -1.393957138931865E+07; -1.948097941877383E+08;  3.864151017753482E+05;  2.409614124714640E+01;  1.487908604975967E+01; -7.618602447154768E-01
 -1.393234273813510E+07; -1.948053303346210E+08;  3.861865434454083E+05;  2.409486663717187E+01;  1.487993471686291E+01; -7.618619547923720E-01
